	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls	With Additional Controls
																				
hhsize_1	-2,485	-2,144	-0.0407	-0.0241	-2,485	-2,144	-0.0407	-0.0241	-2,485	-2,144	-0.0407	-0.0241	-2,485	-2,144	-0.0407	-0.0241	-2,485	-2,144	-0.0407	-0.0241
	(2,512)	(1,343)	(0.0267)	(0.0287)	(2,512)	(1,343)	(0.0267)	(0.0287)	(2,512)	(1,343)	(0.0267)	(0.0287)	(2,512)	(1,343)	(0.0267)	(0.0287)	(2,512)	(1,343)	(0.0267)	(0.0287)
hhsize_adj_1	372.5	1,304	0.0205	-0.0227	372.5	1,304	0.0205	-0.0227	372.5	1,304	0.0205	-0.0227	372.5	1,304	0.0205	-0.0227	372.5	1,304	0.0205	-0.0227
	(1,508)	(801.0)	(0.0159)	(0.0171)	(1,508)	(801.0)	(0.0159)	(0.0171)	(1,508)	(801.0)	(0.0159)	(0.0171)	(1,508)	(801.0)	(0.0159)	(0.0171)	(1,508)	(801.0)	(0.0159)	(0.0171)
hhsize_2	442.6	-14.54	0.000458	0.00425	442.6	-14.54	0.000458	0.00425	442.6	-14.54	0.000458	0.00425	442.6	-14.54	0.000458	0.00425	442.6	-14.54	0.000458	0.00425
	(494.1)	(259.0)	(0.00518)	(0.00553)	(494.1)	(259.0)	(0.00518)	(0.00553)	(494.1)	(259.0)	(0.00518)	(0.00553)	(494.1)	(259.0)	(0.00518)	(0.00553)	(494.1)	(259.0)	(0.00518)	(0.00553)
hhsize_adj_2	-1,634	62.66	0.0226	0.0442**	-1,634	62.66	0.0226	0.0442**	-1,634	62.66	0.0226	0.0442**	-1,634	62.66	0.0226	0.0442**	-1,634	62.66	0.0226	0.0442**
	(1,527)	(808.2)	(0.0161)	(0.0172)	(1,527)	(808.2)	(0.0161)	(0.0172)	(1,527)	(808.2)	(0.0161)	(0.0172)	(1,527)	(808.2)	(0.0161)	(0.0172)	(1,527)	(808.2)	(0.0161)	(0.0172)
Constant	-7,488***	-2,166*	-0.0352	0.0645***	-7,488***	-2,166*	-0.0352	0.0645***	-7,488***	-2,166*	-0.0352	0.0645***	-7,488***	-2,166*	-0.0352	0.0645***	-7,488***	-2,166*	-0.0352	0.0645***
	(2,124)	(1,129)	(0.0225)	(0.0241)	(2,124)	(1,129)	(0.0225)	(0.0241)	(2,124)	(1,129)	(0.0225)	(0.0241)	(2,124)	(1,129)	(0.0225)	(0.0241)	(2,124)	(1,129)	(0.0225)	(0.0241)
																				
Observations	5,898	6,070	6,054	6,096	5,898	6,070	6,054	6,096	5,898	6,070	6,054	6,096	5,898	6,070	6,054	6,096	5,898	6,070	6,054	6,096
R-squared	0.012	0.017	0.073	0.022	0.012	0.017	0.073	0.022	0.012	0.017	0.073	0.022	0.012	0.017	0.073	0.022	0.012	0.017	0.073	0.022
Standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
